#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,结构组,,60011143,
UserGroup,,结构组,,60011546,
UserGroup,,结构组,,60003035,
UserGroup,,结构组,,60000148,
UserGroup,,结构组,,60000224,
UserGroup,,结构组,,60000329,
UserGroup,,结构组,,60000416,
UserGroup,,结构组,,60000432,
UserGroup,,结构组,,60000434,
UserGroup,,结构组,,60002152,
UserGroup,,结构组,,60002653,
UserGroup,,结构组,,60006005,
UserGroup,,结构组,,60006514,
UserGroup,,结构组,,60007197,
UserGroup,,结构组,,60009020,
UserGroup,,结构组,,60009664,
UserGroup,,结构组,,60009663,
UserGroup,,结构组,,60009662,
UserGroup,,结构组,,60010080,
UserGroup,,结构组,,60012415,
UserGroup,,结构组,,60012493,
UserGroup,,结构组,,60000043,
UserGroup,,结构组,,60000433,
UserGroup,,结构组,,60011314,
UserGroup,,结构组,,60006229,
UserGroup,,结构组,,60008597,
UserGroup,,结构组,,60008786,
UserGroup,,结构组,,60012360,
UserGroup,,结构组,,60000866,
UserGroup,,结构组,,60009652,
UserGroup,,结构组,,60008012,
UserGroup,,结构组,,60011147,
UserGroup,,结构组,,60000176,
UserGroup,,结构组,,60010109,
UserGroup,,结构组,,60010140,
UserGroup,,结构组,,60010143,
UserGroup,,结构组,,60009659,
UserGroup,,结构组,,60002702,
UserGroup,,结构组,,60007567,
UserGroup,,结构组,,60010111,
UserGroup,,结构组,,60006510,
UserGroup,,结构组,,60008810,
UserGroup,,结构组,,60009633,
UserGroup,,结构组,,60008815,
UserGroup,,结构组,,60009638,
UserGroup,,结构组,,60010158,
UserGroup,,结构组,,60008819,
UserGroup,,结构组,,60008814,
UserGroup,,结构组,,60008593,
UserGroup,,结构组,,60010125,
UserGroup,,结构组,,60010116,
UserGroup,,结构组,,60010114,
UserGroup,,结构组,,60006225,
UserGroup,,结构组,,60001278,
UserGroup,,结构组,,60003153,
UserGroup,,结构组,,60007786,
UserGroup,,结构组,,60010142,
UserGroup,,结构组,,60008165,
UserGroup,,结构组,,60009657,
UserGroup,,结构组,,60008808,
UserGroup,,结构组,,60011547,
UserGroup,,结构组,,60008813,
UserGroup,,结构组,,60000336,
UserGroup,,结构组,,60000359,
UserGroup,,结构组,,60007825,
UserGroup,,结构组,,60010315,
UserGroup,,结构组,,60000535,
UserGroup,,结构组,,60000843,
UserGroup,,结构组,,60004942,
UserGroup,,结构组,,60009518,
UserGroup,,结构组,,60007824,
UserGroup,,结构组,,60000467,
UserGroup,,结构组,,60006297,
UserGroup,,结构组,,60010430,
UserGroup,,结构组,,60010504,
UserGroup,,结构组,,60010715,
UserGroup,,结构组,,60010299,
UserGroup,,结构组,,60010999,
UserGroup,,结构组,,60000888,
UserGroup,,结构组,,60002517,
UserGroup,,结构组,,60011313,
UserGroup,,结构组,,60011311,
UserGroup,,结构组,,60001072,
UserGroup,,结构组,,60000876,
UserGroup,,结构组,,60006683,
UserGroup,,结构组,,60012422,
UserGroup,,结构组,,60010441,
UserGroup,,结构组,,60011666,
UserGroup,,结构组,,60011001,
UserGroup,,结构组,,60010289,
UserGroup,,结构组,,60000108,
UserGroup,,结构组,,60010062,
UserGroup,,结构组,,60012284,
UserGroup,,结构组,,60010119,
UserGroup,,结构组,,60012725,
UserGroup,,结构组,,60012781,
UserGroup,,结构组,,60011663,
UserGroup,,结构组,,60007785,
UserGroup,,结构组,,60000122,
UserGroup,,结构组,,60000282,
UserGroup,,结构组,,60000125,
UserGroup,,结构组,,60000518,
UserGroup,,结构组,,60000409,
UserGroup,,结构组,,60000091,
UserGroup,,结构组,,60002031,
UserGroup,,结构组,,60009685,
UserGroup,,结构组,,60012495,
UserGroup,,结构组,,60011641,
