#AddPrincipalToRole,containerClass,containerName,role,principalNameOrDN,serviceName,useSharedTeam
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,物料控制专员,60000879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,生产主管,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,采购代表,60003176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,财务代表,60000907,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,成本工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,客服代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,商务专员,60000490,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,售后工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,产品经理,60000107,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,产品决策委员会,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,EE浏览者,EE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,SE组浏览者,SE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,测试组浏览者,测试组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,工艺组浏览者,工艺组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,结构组浏览者,结构组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,客服组浏览者,客服组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,热管理仿真组浏览者,热管理仿真组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,设备组浏览者,设备组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,线束组浏览者,线束组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,制造组浏览者,制造组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,ZQY,质量组浏览者,质量组,,
,,,,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,项目经理,60001942,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,项目助理,60004023,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,市场代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,销售代表,60001991,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,质量代表,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,产品质量工程师,60000419,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,产品安全工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,可靠性工程师,60006879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,供应商质量管理工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,PMO,60001351,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,开发代表,60002488,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,系统工程师,60002488,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,EE系统工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,软件工程师,60006007,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,硬件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,元器件工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,线束工程师,60004942,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,线束工程师,60007824,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,线束工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,结构工程师,60002152,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,结构工程师,60002586,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,认证工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,热管理&仿真工程师,60000176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,测试工程师,60000394,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,电芯PM,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,产品数据工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,标准化工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,制造代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,制造代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,工艺工程师,60008787,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,设备工程师,60001339,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,工业工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,计划控制专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,计划控制专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,物料控制专员,60000879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,物料控制专员,60007879,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,物料控制专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,物料控制专员,60001243,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,物料控制专员,60004565,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,生产主管,60000212,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,生产主管,60004022,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,生产主管,60000076,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,采购代表,60003176,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,财务代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,成本工程师,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,客服代表,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,商务专员,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,售后工程师,60004765,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,产品经理,60000107,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,产品决策委员会,,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,EE浏览者,EE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,SE组浏览者,SE组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,测试组浏览者,测试组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,工艺组浏览者,工艺组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,结构组浏览者,结构组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,客服组浏览者,客服组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,热管理仿真组浏览者,热管理仿真组,,
AddPrincipalToRole,wt.pdmlink.PDMLinkProduct,HNC,设备组浏览者,设备组,,
